id,difficulty,method,parse_success,planner_success,plan_valid,goal_achieved,success,plan_length,runtime,error_type
bw_easy_001,easy,llm_only,True,,True,True,True,2,22.7441,
bw_easy_002,easy,llm_only,True,,False,False,False,3,4.8018,precondition_violation
bw_easy_003,easy,llm_only,True,,False,False,False,3,5.0894,precondition_violation
bw_easy_004,easy,llm_only,True,,False,False,False,3,4.8142,precondition_violation
bw_easy_005,easy,llm_only,True,,True,True,True,2,3.8677,
bw_easy_006,easy,llm_only,True,,False,False,False,3,4.6967,precondition_violation
bw_easy_007,easy,llm_only,True,,False,False,False,2,3.8357,unknown_object
bw_easy_008,easy,llm_only,True,,False,False,False,3,5.1948,precondition_violation
bw_easy_009,easy,llm_only,True,,False,False,False,3,5.5814,precondition_violation
bw_easy_010,easy,llm_only,True,,False,False,False,1,3.5427,precondition_violation
bw_easy_001,easy,llm_planner,True,True,True,True,True,2,28.2016,
bw_easy_002,easy,llm_planner,True,True,True,True,True,2,21.5132,
bw_easy_003,easy,llm_planner,True,True,True,True,True,2,19.7016,
bw_easy_004,easy,llm_planner,True,True,True,True,True,2,19.6214,
bw_easy_005,easy,llm_planner,True,True,True,True,True,2,20.2584,
bw_easy_006,easy,llm_planner,True,True,True,True,True,2,17.7094,
bw_easy_007,easy,llm_planner,True,True,True,True,True,4,19.5018,
bw_easy_008,easy,llm_planner,True,True,True,True,True,2,22.7693,
bw_easy_009,easy,llm_planner,True,True,True,True,True,2,20.0922,
bw_easy_010,easy,llm_planner,True,True,True,True,True,4,20.1441,
bw_medium_001,medium,llm_only,True,,True,True,True,4,5.7428,
bw_medium_002,medium,llm_only,True,,False,False,False,3,5.1084,unknown_object
bw_medium_003,medium,llm_only,True,,False,False,False,3,5.0451,unknown_object
bw_medium_004,medium,llm_only,True,,False,False,False,3,5.6529,precondition_violation
bw_medium_005,medium,llm_only,True,,True,True,True,2,4.2310,
bw_medium_006,medium,llm_only,True,,False,False,False,5,6.7086,precondition_violation
bw_medium_007,medium,llm_only,True,,False,False,False,1,3.3229,precondition_violation
